PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001261,30017,3603,105523.85714285714
E14001262,29190.51,3523.2,102562.58214285714
E14001522,26262.374,3240.48,92071.20785714286
E14001523,19201.788,2558.76,66773.45857142858
E14001524,30017,3603,105523.85714285714
E14001525,70132.5,7481,249244
E14001526,15470.776,2198.52,53405.41714285714
E14001527,70132.5,7481,249244
E14001528,30017,3603,105523.85714285714
E14001529,24703.85,3090.0000000000005,86487.08928571429
E14001530,19036.49,2542.8,66181.20357142857
E14001531,30017,3603,105523.85714285714
E14001532,27065.25,3318,94947.875
E14001533,22247.994,2852.8799999999997,77687.87214285714
E14001534,70132.5,7481,249244
E14001535,29922.544,3593.88,105185.42571428572
E14001536,27797.284,3388.68,97570.71857142857
E14001463,28977.984,3502.68,101801.11142857143
E14001537,30017,3603,105523.85714285714
E14001538,27372.232,3347.64,96047.77714285714
E14001539,24160.728,3037.56,84541.10857142857
E14001540,26191.532,3233.64,91817.38428571429
E14001541,29875.316000000006,3589.3200000000006,105016.21
E14001542,25294.2,3147,88602.28571428572
E14001543,21704.872,2800.44,75741.89142857143
E14001544,12731.552,1934.04,43590.905714285705
E14001545,21988.24,2827.8,76757.18571428572
E14001546,28104.266,3418.32,98670.62071428572
E14001547,30017,3603,105523.85714285714
E14001548,14904.039999999999,2143.8,51374.82857142857
E14001549,19249.016000000003,2563.32,66942.6742857143
E14001550,70132.5,7481,249244
E14001551,30017,3603,105523.85714285714
E14001552,17123.756,2358.12,59327.96714285714
E14001553,70132.5,7481,249244
E14001554,21421.504,2773.08,74726.59714285715
E14001555,20429.716,2677.3199999999997,71173.06714285715
E14001556,70132.5,7481,249244
E14001557,29969.772,3598.44,105354.64142857143
E14001558,70132.5,7481,249244
E14001559,70132.5,7481,249244
E14001560,29591.948,3561.9599999999996,104000.91571428571
E14001561,30017,3603,105523.85714285714
E14001562,30017,3603,105523.85714285714
E14001563,70132.5,7481,249244
E14001564,26427.672000000002,3256.44,92663.46285714286
E14001565,29379.422000000002,3541.44,103239.445
